timestamp,Balancer stETH Stable Pool Growth of a ETH,Balancer rETH Stable Pool Growth of a ETH,Balancer rsETH / ETHx Growth of a ETH,Balancer osETH/wETH StablePool Growth of a ETH,Balancer wstETH-WETH Stable Pool Growth of a ETH,Balancer ETHx/wstETH Growth of a ETH,Balancer swETH-WETH Stable Pool Growth of a ETH,Balancer weETH/rETH StablePool Growth of a ETH,Balancer ezETH-WETH Stable Pool Growth of a ETH,Balancer weETH/ezETH/rswETH Growth of a ETH,Gyroscope ECLP wstETH/wETH Growth of a ETH,Gyroscope ECLP wstETH/cbETH Growth of a ETH,balETH
2024-07-30 07:57:59,1.0002776566272864,1.0012403614338523,1.0044595921905977,1.0012120218591563,1.0015744477934456,1.005076984456167,1.0009599543014887,1.002423511935361,1.0020591536618197,1.000245532331177,1.003823788533305,1.0027770428431166,1.0039550519231804
2024-07-30 13:57:23,1.0003178853974852,1.0012866331784551,1.0045358598979577,1.001252791951233,1.0016663589634283,1.005203106190605,1.0006801033880879,1.0024337520136544,1.00211685159665,1.000892538991023,1.0039468407695917,1.002880733051174,1.0042482407917517
2024-07-30 19:55:11,1.0003185468984743,1.001197060919826,1.004768760642369,1.0012743387757803,1.0016532159451932,1.0053092396062664,1.0006801033880879,1.0023758563104894,1.00208809472888,1.0012120822228694,1.0039591668135344,1.0028994894113952,1.0045402945730884
2024-07-31 01:51:11,1.0003185468984743,1.001229007106638,1.0048143932276068,1.0012958567013108,1.001668954131459,1.005346818798663,1.0004469231152815,1.0023886440096277,1.002097102739473,1.0010814063104418,1.0039937087340687,1.0029055473036133,1.004616862601372
2024-07-31 07:47:59,1.0002093155710685,1.0012478457156833,1.00486012835798,1.0013174587820841,1.0016782938511704,1.0054044214377822,1.0007197128535448,1.0024073783623682,1.0019618393436316,1.001213476498671,1.0040249042313625,1.002928137395655,1.0046641514636436
2024-07-31 13:44:35,1.0002506723657203,1.0012658362670248,1.0049058378520694,1.0013601108642127,1.0017481066776537,1.0054995631905124,1.000356293587532,1.0024128475241583,1.0020040783978441,1.0035964427184985,1.0040916093398242,1.0030511561224595,1.0047114182670909
2024-07-31 19:41:47,1.0002506723657203,1.0012890029210486,1.0049718929759008,1.0013872440562048,1.001732488520618,1.0055430983314808,1.0001873436273507,1.0024859269698265,1.0022652312670506,1.0037663147814717,1.0041004522484789,1.0031871295858021,1.0047587690586512
2024-08-01 01:38:35,1.0002522593038514,1.001327549304896,1.00497218009811,1.001408927072978,1.0017506095877584,1.0055948675876178,1.0002988986768897,1.0025075631094107,1.0022490642412232,1.0037553994400332,1.0041402030840105,1.0032448344530709,1.0047793027883334
2024-08-01 07:34:59,1.0002716344960239,1.001355130741287,1.0050155811423622,1.0014305915449209,1.0017902753822547,1.0056675540714524,0.999803307070259,1.002530980246378,1.0022793017597984,1.0037686269015573,1.0042024854801037,1.0032902914496007,1.0047947518034328
2024-08-01 13:32:11,1.000313177171272,1.0014025587845692,1.005103455883236,1.0014839825667616,1.0018642589564084,1.0058108600118714,1.0003965533348254,1.0025558982736678,1.0023369385402003,1.0027460600151343,1.004300375808969,1.0033706745447424,1.004810235973138
2024-08-01 19:28:47,1.0004091969600164,1.0014101109807376,1.0052042532826841,1.0014843710570618,1.002040744380835,1.0059005394008693,1.0003270753826912,1.0025822165545513,1.0024830351735539,1.0027728851818014,1.0044857821744149,1.0035029246916098,1.0048256946096359
2024-08-02 01:25:59,1.0004090432834973,1.001420877934786,1.005233615950785,1.0015022574902963,1.0020315128210275,1.0059285560307185,1.0014857660894803,1.0025973977738043,1.0024902207417679,1.0027590777711168,1.0044749024145072,1.0033790879852587,1.0049941929868078
2024-08-02 07:21:35,1.000407095566872,1.0014460350322245,1.0052954172926307,1.0015200428606892,1.0020246917055176,1.006001708380269,1.0011297728954103,1.0026229352810134,1.0026822017043806,1.0028374061211025,1.0044849886083274,1.0032284056172207,1.0051990295686033
2024-08-02 13:19:47,1.0002448440095126,1.0014914892831206,1.0053892342042396,1.001563543529918,1.0018377713910003,1.0059737929753378,1.0017905603608932,1.0026257059265962,1.0027408919378686,1.0037837011912747,1.0042674252758297,1.0031601002626291,1.0054054482650658
