,destination_vault_address,block,chain_id,incentive_apr,fee_apr,base_apr,points_apr,fee_plus_base_apr,total_apr_in,total_apr_out,underlying_token_total_supply,safe_total_supply,price_per_share,price_return,underlying_safe_price,underlying_spot_price,underlying_backing,safe_backing_discount,spot_backing_discount,safe_spot_spread
19,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21712129,1,,,,0.0,,,,13494.692968188203,,,,1.0357555784553019,1.035700568087835,1.040208139862314,-0.004280452379080086,-0.0043333363792707425,5.3111340755549876e-05
20,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21762264,1,,,,0.0,,,,13426.28231543171,,,,1.0355440559133198,1.035437311756017,1.0404531001118902,-0.004718179222150901,-0.004820773137524261,0.00010308026654518734
21,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21812397,1,,,,0.0,,,,14816.342037628236,,,,1.0366514302000247,1.036914145208008,1.040510480366323,-0.0037088047060704885,-0.0034563180536623765,-0.0002534265620340273
22,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21862393,1,,,,0.0,,,,14816.316710644312,,,,1.0372682932322443,1.0374776933267669,1.0407199460926493,-0.0033166010446557355,-0.003115394086617972,-0.00020187650185470626
23,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21912465,1,,,,0.0,,,,14816.15864431475,,,,1.0405230546887856,1.0405240261191768,1.0407295032844934,-0.0001983691199839152,-0.00019743570703831007,-9.335981426470889e-07
24,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,21962635,1,,,,0.0,,,,14816.173379251406,,,,1.039538909835011,1.039537127602234,1.0410356667801681,-0.0014377576032399547,-0.001439469583754923,1.7144454719808878e-06
25,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,22012750,1,,,,0.0,,,,14815.94978642156,,,,1.0395563283141325,1.0395287918330993,1.0412366123968282,-0.0016137389549027291,-0.0016401848949564178,2.6488685877954148e-05
26,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,22062883,1,,,,0.0,,,,14815.361525324453,,,,1.0372177136770748,1.0371764168777984,1.0418957331676357,-0.004489911362184486,-0.004529547573334803,3.981497686733883e-05
27,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,22113034,1,,,,0.0,,,,14717.924887048504,,,,1.0414614569439173,1.0414597166441046,1.041695936180793,-0.00022509374255146275,-0.00022676438342876426,1.6710170127748012e-06
28,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,22163172,1,,,,0.0,,,,14582.912695184967,,,,1.0413950495399318,1.041398545264749,1.041839256161081,-0.00042636771317869257,-0.00042301237328676755,-3.356771110747163e-06
29,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,22213305,1,,,,0.0,,,,14583.683627051696,,,,1.0410792036042804,1.041096874505195,1.0420216446927861,-0.0009044352325172419,-0.000887476946665373,-1.6973637407564262e-05
30,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,22263499,1,,,,0.0,,,,14667.69991919391,,,,1.0399480684415223,1.0399668385911658,1.0424815197454518,-0.0024302121965174626,-0.002412206937634745,-1.8049122079331063e-05
31,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,22313650,1,,,,0.0,,,,14416.177290231783,,,,1.0385842631685331,1.038653763633536,1.0428703838438211,-0.004109926546662659,-0.004043283111313863,-6.691846532590075e-05
32,0xf3ae3c74EaD129e770A864CeE291A805b170bBe0,22363838,1,,,,0.0,,,,14401.804749083924,,,,1.042463846192085,1.0424655276242665,1.0427595665493257,-0.00028359400069497454,-0.00028198151759203585,-1.6129405231945056e-06
33,0x865e59D439BF7310c9BC6117E6020B8C87De4065,20759464,1,0.02600288534093788,0.000322643065399232,0.011619577989044762,0.0,,0.03452833042047235,0.03452833042047235,19844.662496684225,6057.574208549862,1.0122423702939323,-0.00081648744081574,134569560173.8833,134575166562.33643,134298128508.9363,0.0020211127880977505,0.002062858630093992,-4.166163912463366e-05
34,0x865e59D439BF7310c9BC6117E6020B8C87De4065,20809562,1,0.025245898945164033,0.000731919358914452,0.01166727047534772,0.0,,0.0342962897294054,0.0342962897294054,19844.850374296817,6057.574208549862,1.0124894388635486,-0.000824209155504396,134649859080.34389,134658705549.71527,134374565384.69237,0.0020487038961830243,0.0021145382997850575,-6.569980415727794e-05
35,0x865e59D439BF7310c9BC6117E6020B8C87De4065,20859740,1,0.025260867211250433,0.001281329195562975,0.011809077602680674,0.0,,0.03504250176197524,0.03504250176197524,19844.865616082054,6057.574208543979,1.0126715993481892,-0.000782685526393801,134709022031.673,134716962692.27223,134450674860.28107,0.0019215014849156197,0.001980561512747237,-5.894676154178363e-05
36,0x865e59D439BF7310c9BC6117E6020B8C87De4065,20909955,1,0.0257591287175691,0.001783846471684383,0.01118937439981549,0.0,,0.03519066517762327,0.03519066517762327,18658.07825675691,6058.789036418294,1.0131738419152145,-0.000965771539688787,143452856620.06305,143478532990.24182,143088249910.69293,0.0025481247383882517,0.002727569033743025,-0.00017898821106627529
37,0x865e59D439BF7310c9BC6117E6020B8C87De4065,20960089,1,0.023570792773361184,0.001181805038550957,0.010483602716909665,0.0,,0.03166459929336117,0.03166459929336117,18658.251612171774,6058.789036418294,1.0137164023380607,-0.001214521958124524,143659051456.0122,143665006585.31802,143169348040.32938,0.0034204487370081914,0.0034620437389225617,-4.1453213323214e-05
38,0x865e59D439BF7310c9BC6117E6020B8C87De4065,21010230,1,0.02166353071933663,0.001438823437954638,0.01185034184648742,0.0,,0.03192344705095596,0.03192344705095596,18658.077542167473,6058.789036418294,1.0134728034952838,-0.000862895880889059,143560369874.16705,143559155014.2209,143251693871.5955,0.0021547808212882096,0.002146300223863261,8.462362887695513e-06
39,0x865e59D439BF7310c9BC6117E6020B8C87De4065,21060412,1,,,,0.0,,,,17807.108865474765,,,,150420303815.14023,150428092850.54303,150178515962.88358,0.0016100029402102388,0.0016618681178147809,-5.1781808740220915e-05
40,0x865e59D439BF7310c9BC6117E6020B8C87De4065,21110559,1,,,,0.0,,,,17807.42707034851,,,,150468534608.00375,150475961542.093,150256780185.72836,0.0014092836410686206,0.0014587119203120142,-4.935871880843281e-05
41,0x865e59D439BF7310c9BC6117E6020B8C87De4065,21160714,1,,,,0.0,,,,17814.133811336356,,,,150355353386.40576,150353038764.0479,150282159103.1389,0.0004870457258778327,0.00047164388196194515,1.5394346165384994e-05
42,0x865e59D439BF7310c9BC6117E6020B8C87De4065,21210874,1,,,,0.0,,,,17814.08463566166,,,,150495515879.60422,150496977756.28882,150372313762.08856,0.0008193138379886849,0.0008290355523656661,-9.713755762466208e-06
43,0x865e59D439BF7310c9BC6117E6020B8C87De4065,21261045,1,,,,0.0,,,,17805.24131959833,,,,150532412051.33807,150519252091.90594,150527241666.7208,3.434849772060989e-05,-5.3077268449118356e-05,8.74227633291413e-05
44,0x865e59D439BF7310c9BC6117E6020B8C87De4065,21311105,1,,,,0.0,,,,17805.443166022265,,,,150458037106.9547,150514616920.83624,150600914659.0478,-0.0009487163634865403,-0.0005730226699281422,-0.0003760504587821413
45,0x865e59D439BF7310c9BC6117E6020B8C87De4065,21361217,1,,,,0.0,,,,17792.50008748309,,,,150732794372.4244,150753892821.39746,150790152459.23007,-0.00038038350562164376,-0.0002404642295352463,-0.00013997251932398863
46,0x865e59D439BF7310c9BC6117E6020B8C87De4065,21411356,1,,,,0.0,,,,17790.390221571826,,,,150717732832.22397,150831908232.36566,150884448961.5575,-0.0011049258587013345,-0.00034821831907422,-0.0007575445702118604
47,0x865e59D439BF7310c9BC6117E6020B8C87De4065,21461471,1,,,,0.0,,,,17790.63314294738,,,,150853305234.3364,150857023817.8784,150962662312.66296,-0.0007243981833075792,-0.0006997657113769337,-2.4650328583889616e-05
