address,total_nfts,total_stablecoins_usd,Milady_count,ETH_balance,USDC_balance,USDT_balance,CryptoPunks_count,DAI_balance,USDD_balance,BUSD_balance,FRAX_balance
0xc883a79e8e4594c4f89434edb754a10da2311139,2,101182.23000299999,0.0,2.2285249357824637,100000.000003,0.0,2.0,1182.23,0.0,0.0,0.0
0xa397d02928acaaf6553fd7e832413c5a732cf559,2,100000.0,0.0,0.015132741879106142,100000.0,0.0,2.0,0.0,0.0,0.0,0.0
0x7372852d3829cdfb72cf50396a8280013dd579f2,1,100000.0,0.0,40.0,0.0,0.0,1.0,100000.0,0.0,0.0,0.0
0xf319dff495a71a1b7cdbe5a97b8a35a2452b7a82,1,98498.052591,0.0,1.0008605771778372,79598.052591,18900.0,1.0,0.0,0.0,0.0,0.0
0xec503c22940aad0873213b7064bdc066da3c4d44,1,94396.09341,0.0,0.0,94396.09341,0.0,1.0,0.0,0.0,0.0,0.0
0xdc6eca7b06aeff50bd930b26a15c834e0b36b36c,1,93682.787702,0.0,76.7799020669309,93682.787702,0.0,1.0,0.0,0.0,0.0,0.0
0xb25eada9a72a1ed3e5cc324fe3c4cf5628f26105,1,92275.201391,1.0,0.8226747856464296,92275.201391,0.0,0.0,0.0,0.0,0.0,0.0
0x253fac550bae1ee9b4680b3735dc38a3f6ecd600,1,90469.639605,1.0,0.6134389278496202,15000.000001,75469.639604,0.0,0.0,0.0,0.0,0.0
0xedcdbf20e591e960169709f6f74a93f6e56523e4,1,89118.38052400001,1.0,2.6094257494924475,25000.0,64118.380524,0.0,0.0,0.0,0.0,0.0
0x64b2521f32d29ed675dd7a934df29ca947ba4e6e,1,88156.802002,1.0,0.3218461370447842,0.550215,88156.251787,0.0,0.0,0.0,0.0,0.0
0xc7a1fcde0b80c89b9b270cf9c87e9c6753f30d0b,1,85000.0,0.0,0.53,85000.0,0.0,1.0,0.0,0.0,0.0,0.0
0x332b549ec804f4920b36314e014d2b942e7cd284,1,84883.39468499999,0.0,36.094130224892304,66170.82358,18712.571105,1.0,0.0,0.0,0.0,0.0
0x23d23d05eca973294c648be9db31e6e6ae90c0c7,2,83262.687997,0.0,46.50996316174539,83262.687997,0.0,2.0,0.0,0.0,0.0,0.0
0xf4b465db2f7e39e702324225be51ee60f0f5796a,2,83245.18076,2.0,31.649410075994115,83245.18076,0.0,0.0,0.0,0.0,0.0,0.0
0xf897c8038522fcb25a918e563a93f859402aa0ba,2,82519.8,0.0,4.128482599578452,82519.8,0.0,2.0,0.0,0.0,0.0,0.0
0xf1b02c3b8b03bb9adf38b1072b7351aa179059ca,1,82016.83753844,1.0,8.324830654777822,7500.746349,0.0,0.0,74516.09118944,0.0,0.0,0.0
0x268169a19bca3435451207f70be15436ed142f42,4,78308.816914,0.0,12.151538964327738,32091.080644,46217.73627,4.0,0.0,0.0,0.0,0.0
0xe2679b4b845d9362c02365b401cf443d2cf33551,1,76421.298375,1.0,0.12367458890043266,76376.45684,44.841535,0.0,0.0,0.0,0.0,0.0
0x07f1df49a30a2d567ce993e5ce693ce671a8c306,1,73081.256224,0.0,0.3208748550724302,73081.256224,0.0,1.0,0.0,0.0,0.0,0.0
0xd1319657fe59b79995dbbd048c7bb8629e0df6dc,1,71842.00044340093,1.0,73.05081568388145,4596.56556,3981.434412,0.0,63264.00047140093,0.0,0.0,0.0
0xf47ff49820805577bc6df1c636382564dfa0a791,4,65481.996432,0.0,11.945993570185141,65481.996432,0.0,4.0,0.0,0.0,0.0,0.0
0x93a65b6902be2102bf5196acd7999df6ed26514d,1,60000.301183,1.0,1.1011252433073218,0.001183,60000.3,0.0,0.0,0.0,0.0,0.0
0xd78c7aa0455e78e5305ffc4a672b419b448ec816,1,58950.02622,0.0,3.94408621749853,0.0,58950.02622,1.0,0.0,0.0,0.0,0.0
0xbc70de3ca1335c11a87926f270826377c9b1a4ed,1,57804.703395,0.0,37.46220033072499,57804.703395,0.0,1.0,0.0,0.0,0.0,0.0
0xa3b49bd30902a75e7452691ae37688a56cd365fc,1,57254.159724,0.0,2.12817605597443,57254.159724,0.0,1.0,0.0,0.0,0.0,0.0
0x45c1fab28ad1393bdf34bf27f50d0cf70f09b271,1,54451.32192,1.0,1.654845234223022,54451.32192,0.0,0.0,0.0,0.0,0.0,0.0
0xd74f186194ab9219fafac5c2fe4b3270169666db,1,51815.0,0.0,1.1947506639160659,51815.0,0.0,1.0,0.0,0.0,0.0,0.0
0x84a68bb45f41b75360338e98fc43367e68226b6b,1,50033.169077000006,1.0,0.9751531474433409,34.369077,49998.8,0.0,0.0,0.0,0.0,0.0
0x87b5337006207176c4ff143f49af77b1598a98b0,1,50023.13,0.0,0.039025147206976474,0.0,50023.13,1.0,0.0,0.0,0.0,0.0
0x4650541af1739a297d0ff1eef4f04fbc755d1ffb,1,49976.996566,0.0,0.07034711410726567,49976.996566,0.0,1.0,0.0,0.0,0.0,0.0
0x0f8bd7b597c655869e58b9c1bcfa4ddfe590259d,1,49469.117319,0.0,1.025506543152473,49469.117319,0.0,1.0,0.0,0.0,0.0,0.0
0x2db2142a8a1ee982c04d9c67f0a5f7984cae7157,1,49008.584351,1.0,0.4715227679528721,0.0,49008.584351,0.0,0.0,0.0,0.0,0.0
0xb63e6807ab6110205a0d685fcf671f18c6408489,1,48896.033281,1.0,1.268815526187688,48896.033281,0.0,0.0,0.0,0.0,0.0,0.0
0xaebb055d2a564b4ace8ebfe6821c10edee111e4d,1,47998.280471,0.0,0.2723655303291067,47998.280471,0.0,1.0,0.0,0.0,0.0,0.0
0xf8a37851656c8c1287a6e79d8835e309957951bf,1,47432.551436,0.0,0.224550338,47432.551436,0.0,1.0,0.0,0.0,0.0,0.0
0xd9318e05ff1d1d03f1fe07888d6d315a313a772f,1,47165.889659,1.0,1.0476833147289848,47165.889659,0.0,0.0,0.0,0.0,0.0,0.0
0xba7a9701a17577438ba4c6a678b533404cef3be0,1,46706.072888,0.0,0.025398762570129286,46706.072888,0.0,1.0,0.0,0.0,0.0,0.0
0xa6dea0c7320160ddef2fe2af0e1731f488c52fbd,1,45000.0001774,1.0,0.037408207146942596,0.0,0.0,0.0,45000.0001774,0.0,0.0,0.0
0x38917aa1c17cb78e553b0bdd953f6c2a03d2f193,4,44945.304505,4.0,0.667827206425163,27.550092,44917.754413,0.0,0.0,0.0,0.0,0.0
0x73568d86c857e8752594c342d86c84f96952761b,1,40012.594205,0.0,0.027230406243620494,0.0,40012.594205,1.0,0.0,0.0,0.0,0.0
0x2e3aefc287fd0f565ab9d48db8adc0dd0483d604,1,39040.0,0.0,69.46512806569318,39040.0,0.0,1.0,0.0,0.0,0.0,0.0
0xbf572dbca3bf9fe904c6f34e8e4584e1a831fdde,1,38656.501130000004,1.0,1.07855895226906,37639.374771,1017.126359,0.0,0.0,0.0,0.0,0.0
0x34669322bdfca9e801ca334e7b0e6d69d1f87137,1,34174.692066,0.0,1535.7292728880511,34174.692066,0.0,1.0,0.0,0.0,0.0,0.0
0x04fc83bc716bd579a6cbd1a8d642698b5b9354db,1,33498.121843,1.0,0.00389938898627247,33498.121843,0.0,0.0,0.0,0.0,0.0,0.0
0xf04405c625374979a8c7ffbbfcedf61281782467,1,33130.361754,0.0,0.09212356096762686,33130.361754,0.0,1.0,0.0,0.0,0.0,0.0
0x2e56282efc7b36ad433a26fad0b9f05c61024fbb,1,31695.294745,0.0,40.87235354188647,14110.295938,17584.998807,1.0,0.0,0.0,0.0,0.0
0xc16c7063cc555ef8a7b7c7b3178fbbd4fa6cda46,1,31078.03,1.0,4.8929514512253505,31078.03,0.0,0.0,0.0,0.0,0.0,0.0
0x4e80d57919d114262510bf3c6ba5c2aa466a5e56,2,29059.427518,2.0,0.08196618301053664,29059.427518,0.0,0.0,0.0,0.0,0.0,0.0
0x36a9cf1d1f8e40f188e36fd512e533e81843369d,1,29024.220290999998,1.0,1.6782095265182944,20053.841527,8970.378764,0.0,0.0,0.0,0.0,0.0
0x279679e6b44ec547c6e0466e5efd7d47ef3a400f,7,27685.926204,0.0,319.0352598983099,27685.926204,0.0,7.0,0.0,0.0,0.0,0.0
0x3186b14d5d02b646d53179f408b4fd8c5f1f2676,1,27500.115101,0.0,36.400105,11000.0,16500.115101,1.0,0.0,0.0,0.0,0.0
0x6de871e6e9d6271c701f0dc031e3a4cd35681264,3,26776.946985,1.0,140.83076613077964,26776.946985,0.0,2.0,0.0,0.0,0.0,0.0
0x6df748fd1d9154ffaea6f2f59d369ccacc1c9f2c,1,26684.644143,0.0,15.558570271019635,26684.644143,0.0,1.0,0.0,0.0,0.0,0.0
0xa266b9edf05b39a6d2bd9efbe1d5445192bda55c,1,26681.419033000002,0.0,4.752756295201475,25539.019033,0.0,1.0,1142.4,0.0,0.0,0.0
0x7926fb0720743e677b1e5effb9154f86aa593e54,1,26559.331989,1.0,4.501069912783934,26559.331989,0.0,0.0,0.0,0.0,0.0,0.0
0x9df6a358688ccdc2a955568a05aacac7a998a319,18,26465.689988,0.0,15.66539343330751,0.0,26465.689988,18.0,0.0,0.0,0.0,0.0
0xa68596db3b6c417bb60216e9fb3d7f064ea811a0,5,25888.167972,5.0,0.4457930487136298,25888.167972,0.0,0.0,8.0295e-14,0.0,0.0,0.0
0x0199c7394c1cb6abb6b2932c038e49496cbcdff7,1,25401.639127,0.0,28.429472559308042,25401.639127,0.0,1.0,0.0,0.0,0.0,0.0
0xfc3c962fad2c1cc77f1a0d46e7b8a2de79a21774,1,25272.635858,1.0,5.866789423177305,25272.635858,0.0,0.0,0.0,0.0,0.0,0.0
0x2f44fb58135ae5d3793803c73d471c7cde4bb774,3,25231.92439,0.0,187.0208407418872,25231.92439,0.0,3.0,0.0,0.0,0.0,0.0
0x048da4e48e85d616f58d311d5c27c14def3ce236,3,25208.684902,0.0,0.27779509208331865,48.524104,25160.160798,3.0,0.0,0.0,0.0,0.0
0xfe0875e12958a019dea15a795c22845179749f50,2,25170.594521,0.0,6.999509086070831,25170.594521,0.0,2.0,0.0,0.0,0.0,0.0
0xc8fac84662d9680df332e162d7672bf638da362e,1,24998.0,1.0,0.05208364540688094,24998.0,0.0,0.0,0.0,0.0,0.0,0.0
0xe6c38d64119f15279f72e63bf07e1b8cc100a583,2,24987.265472,0.0,81.23464808117265,24987.265472,0.0,2.0,0.0,0.0,0.0,0.0
0x2dac7e6a5c9f607090a91ec6842038dfd7da8f8f,1,24811.115656050493,1.0,67.33081895008122,24811.115336,0.0,0.0,0.000320050495025483,0.0,0.0,0.0
0x76e888d1b2d18031b2045ebb1f63642277d67e42,1,24756.467835,1.0,0.10672923091552593,24756.467834,1e-06,0.0,0.0,0.0,0.0,0.0
0x7d65bba2e829fdaaf3a185a3f5596ced9bc6b462,1,24400.0,0.0,0.27501419726598575,24400.0,0.0,1.0,0.0,0.0,0.0,0.0
0xf94e5cdf41247e268d4847c30a0dc2893b33e85d,1,23980.546079,1.0,3.9075999089026854,23980.546079,0.0,0.0,0.0,0.0,0.0,0.0
0xbff3f42a1221b7de109ebc6bdfa68deb2e400707,1,23132.249727000002,1.0,2.349379043914661,18499.919727,4632.33,0.0,0.0,0.0,0.0,0.0
0x95fde6cf0d305078b7eeac44182a931c169dd947,1,23118.625001,0.0,0.009983940887073404,23118.625001,0.0,1.0,0.0,0.0,0.0,0.0
0x4c7be9a9a1069216fbd12886dd91b4db3a6526c2,1,22574.105643000003,1.0,0.041832755103663355,11705.339437,10868.766206,0.0,0.0,0.0,0.0,0.0
0x4b54caf0caaa938a1d11c07927ec4c45a3948eb9,1,22548.267339,0.0,20.42693697989301,22548.267339,0.0,1.0,0.0,0.0,0.0,0.0
0x8e27bd3733591d4a235031b538989958831b90d0,1,22302.06803,0.0,0.12325973624395575,22302.06803,0.0,1.0,0.0,0.0,0.0,0.0
0x0a98f97e89743406a8611e1b4219a073b60ffed3,1,21091.992218,0.0,12.556565132929881,0.0,21091.992218,1.0,0.0,0.0,0.0,0.0
0x7668ff85869328b1d140276eb7e8762b2e1cd459,1,20788.593906,1.0,0.17932991582009605,0.8337,20787.760206,0.0,0.0,0.0,0.0,0.0
0xd4681a1176830427366d2fec84aaf5f04beab2e8,2,20396.444027,2.0,0.10660106836540088,0.0,20396.444027,0.0,0.0,0.0,0.0,0.0
0x377d056cb6022ca451692e41b5dc89c9c2e24bd2,1,20394.886615,1.0,0.11295093859493018,20394.886615,0.0,0.0,0.0,0.0,0.0,0.0
0xaab25dddfe2fc59121b6450e46151e77380459b1,1,20315.984747,1.0,0.12383702182860087,20315.984747,0.0,0.0,0.0,0.0,0.0,0.0
0xee45124d3c2a3d9f24fddfc10cd9979b52567cfb,4,20277.401884642437,0.0,0.00791579419375492,20276.490906,0.0,4.0,0.9109786424394147,0.0,0.0,0.0
0xd268b4588a615833870e71c4895226350c70ffcc,1,20163.36290586809,1.0,6.562521559345918,0.0,0.0,0.0,20163.36290586809,0.0,0.0,0.0
0xc77609d56e632fa7f0dede15c4f082834fd4a8f7,1,19997.193145,1.0,1.2623493120849338,19997.193145,0.0,0.0,0.0,0.0,0.0,0.0
0x16da1d853788c84749baf17bd90610e9ea91dda3,1,19714.130198097268,1.0,10.451250738418969,19689.131139,0.0,0.0,24.99905908972606,0.0,7.540087785e-09,0.0
0xdd7f515c9b48e3ebbb9e0842cb18454c48f43538,1,19436.149393,0.0,0.1359869979048106,19436.149393,0.0,1.0,0.0,0.0,0.0,0.0
0xe16a2138acb168633ee2bc0608fa62c7a26d0fce,4,18943.031139,4.0,0.08449368216468699,8998.361139,9944.67,0.0,0.0,0.0,0.0,0.0
0xee075d16773517479f0ddba8cbc974ae4e1e205c,8,18850.594273,0.0,4.515650369363323,18850.594273,0.0,8.0,0.0,0.0,0.0,0.0
0x6d48e0bb2f48dc5d9e4836448885c81c53c299bf,1,18530.638110691412,1.0,2.311189107394879,4112.189862,0.0,0.0,14418.448248691413,0.0,0.0,0.0
0x40053259c78f903c1434290a5eb2dbcf10139dcf,2,17968.217892,2.0,5.977700256355412,1952.21901,16015.998882,0.0,0.0,0.0,0.0,0.0
0x996666de859b274cdc925eb890ebb39aadbf3317,1,17961.324983,0.0,11.972484885101762,17461.324983,0.0,1.0,500.0,0.0,0.0,0.0
0x738b27a48aef816dd665fda5546ec6c93edb79f5,1,17760.558572,1.0,0.001850595256213244,0.0,17760.558572,0.0,0.0,0.0,0.0,0.0
0x2259cc4ff58bcb4a748e2143ee35be3e0564feb7,1,17722.245667,0.0,11.936185774689896,17722.245667,0.0,1.0,0.0,0.0,0.0,0.0
0xa547a35176fb8f8744f69c999c808c97a4efde22,1,17716.036318,0.0,0.37715833744794586,17716.036318,0.0,1.0,0.0,0.0,0.0,0.0
