timestamp,id,success,totalPayment,gasUsed,gasOverhead,trigger,event,block,transaction_index,log_index,hash,gasCostInETH,gasPrice,gasCostInETH_with_premium
2024-09-11 16:52:23,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,530876332618194156,488711,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<KgP\x1e=\x17\x7f\xc0\xd9\xb6\xdc\xf2\x80\x9f}\xaf\xe7\xed\xab\xdf\xfd\xcf@\x85\x01\xe8\xad\x0b\xa8\x8f\xe4\xa33\xed',UpkeepPerformed,20728680,167,309,0x796fe5795ca74e5d3f786cd5fa8df8039905c728bdf89ed8feca67bb62bf75da,0.002018923251167291,3386313091,0.0024227079014007493
2024-09-11 16:56:35,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,741291362757808062,597584,112043,"b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<K|\x84\xd7\x9dC;""\xfed\x85\x84\xe1\xa8$\x17>\x0b\x08\xf6F\xecy\xfb\xb9G\x9f\xc7\xce\xcfq\xe8\x1f\xc5'",UpkeepPerformed,20728701,48,112,0xc4b45542981854db1eeb1dd43016f8532d5ce92a79134e43e1b35f62acbd2be6,0.00280900269554625,3984118425,0.0033708032346555
2024-09-11 17:10:59,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,496094071353562775,571669,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<K\xc4\x89\xacoXig_F\xcf\x08\xfbh\xb1\xd5\xbc\r\x1e\x8b|\xc6#\\\xe1\xeb 2\xf5Mk\xf8\xbe\x84',UpkeepPerformed,20728773,96,263,0xfcf9333c678384776f5407bfee69f724b382199b559839f2a24bfaf5d17ffc50,0.001881332206682155,2770188853,0.002257598648018586
2024-09-11 17:52:59,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,461374017732104544,468348,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<L\x96\xd1\x05\x1d\xcc\x16\x11[x<\x14\\7`\x93\x98]N\x1bp\xf2\x1aV\xab\xc2\xa6\xa1\xc5\xba]\x18?\x96',UpkeepPerformed,20728983,18,102,0x0a2cad7cbf523e86c6d017173051942829354ceaeadd71e421caf5241add15fb,0.001741703016478716,3050193194,0.002090043619774459
2024-09-11 17:53:59,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,465257634254709901,468789,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<L\x9bM\x07\xcaV\xdc\x82}<\xd1\xba\x96\xee\xd7\x86\xca\x1f\xd1\xa9\x0eJ\xb0hj\n\xf9\xa7\xee\xb7\xf5Z\xd2Y',UpkeepPerformed,20728988,17,94,0x911ec3e5fbc75d8f688a8ab7f7ea1a7d884bec9ef1f45c29eb7e3a70f31fe248,0.001771093956817515,3073455253,0.002125312748181018
2024-09-11 17:56:47,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,545070566902978227,583601,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<L\xa9]lh\xdb\x8eB\x13MB8P\xf0*\xca\xd0\xe7_\x1f\x1b\x13\xab\xd2\xdef\x92r|g\xa2\x149s',UpkeepPerformed,20729002,38,97,0x61d7874d68975c6fddcf414ff77487c62b472f4095f06b7758a02164414f424a,0.002051992747768348,2990027012,0.0024623912973220177
2024-09-11 17:57:23,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,479606845510386637,470751,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<L\xacp`xH\x96\xaff\x13v\xb5\xb1H+\x1d\xe0|C\xff8f2\xf3vb\xfe\x1aO\x9a\x91*|\xd8',UpkeepPerformed,20729005,24,156,0xc705415f1abb7eb9341891f69b55d4b0ec052336709356841ce2a33ec66ee28a,0.001825561694580687,3157225911,0.0021906740334968243
2024-09-11 18:11:11,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,688269920408062276,561394,112043,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<L\xf1\xbaMpE\xf5\x99\xc00\xfe9^>\x86p\xa9\xacU\xe1\xfc.\xdb\xea\x8517\xde\xbb\xce\xd1\x95\xadL',UpkeepPerformed,20729074,67,53,0x7011bc8c0d48bfbfc139f36dd557af2047ec9fd9f8e290065372217916973159,0.00259223148503664,3903610344,0.0031106777820439683
2024-09-11 18:13:59,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,1219837595248932966,1022022,114740,"b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<L\xffX,\x0e-\xdd\xa3>\xe3\x13ZM\x9c\x88\xf9\x13Q\x04A\x18\xe8I\x1d\xa2KO\xf8e\xffq~Z\x84'",UpkeepPerformed,20729088,43,140,0x572b5f795aece0bf9525172ace19a732f828e03170a098383a4cbb039640badb,0.004586563007629655,4053148411,0.0055038756091555854
2024-09-11 18:14:47,1344461886831441856282597505993515040672606510446374000438363195934269203116,True,579206284920749131,388398,114740,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01<M\x03\x00\xb8\xae\x9d\xd3\x8e\x89\x91J\x12\x86[\xd4\xac\x98b\x06zP\xce\xd5\xd5@1\x12pN\x82\xc0\xc7\xe8\xce',UpkeepPerformed,20729092,190,352,0x11cd9fe5cee51c5fdcf7457538dfee1635abf43475e544600cdddd75229b571e,0.002212936550702018,4443924322,0.002655523860842421
