top_level_function,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,filename,lineno,function
add_new_destination_summary_stats_to_table,29268,0.007283297,2.4884846931802653e-07,0.007283297,2.4884846931802653e-07,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,212,_add_points_value_to_summary_stats
add_new_destination_summary_stats_to_table,10,0.000525452,5.2545200000000006e-05,75.208918334,7.5208918334,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,188,_fetch_autopool_destination_df
add_new_destination_summary_stats_to_table,29268,0.019553313000000003,6.680782082820829e-07,0.019553313000000003,6.680782082820829e-07,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,232,_clean_summary_stats_info
add_new_destination_summary_stats_to_table,148,9.808100000000001e-05,6.627094594594595e-07,0.006820245000000001,4.608273648648649e-05,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,253,_build_summary_stats_call
add_new_destination_summary_stats_to_table,10,0.000116953,1.16953e-05,0.005215001,0.0005215001000000001,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,287,<listcomp>
add_new_destination_summary_stats_to_table,10,5.4570000000000004e-06,5.457e-07,0.005220458000000001,0.0005220458000000001,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/pages/autopool_diagnostics/fetch_destination_summary_stats.py,285,_build_destination_points_calls
add_new_destination_details_for_each_chain_to_table,1,1.125e-06,1.125e-06,0.00060625,0.00060625,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/destinations.py,88,add_new_destination_details_for_each_chain_to_table
add_new_destination_details_for_each_chain_to_table,1,3.001e-06,3.001e-06,0.00024316700000000003,0.00024316700000000003,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,29,get_timestamp_table_was_last_updated
add_new_destination_details_for_each_chain_to_table,1,5.71e-06,5.71e-06,0.000283,0.000283,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,80,does_table_exist
add_new_destination_details_for_each_chain_to_table,1,7.770800000000001e-05,7.770800000000001e-05,0.0006051250000000001,0.0006051250000000001,/Users/pb/Documents/Github/Tokemak/v2-rebalance-dashboard/mainnet_launch/database/should_update_database.py,93,should_update_table
