         568789965 function calls (557406642 primitive calls) in 527.294 seconds

   Ordered by: cumulative time
   List reduced from 4935 to 500 due to restriction <500>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.001    0.000   18.514    2.057 update_autopool_destination_states_table.py:60(_fetch_and_insert_new_autopool_destination_states)
   382414    0.062    0.000   16.888    0.000 {method 'join' of 'bytes' objects}
     2940    0.002    0.000   16.825    0.006 response.py:1044(stream)
      126    0.002    0.000   16.681    0.132 connection.py:846(_ssl_wrap_socket_and_match_hostname)
      126    0.000    0.000   16.672    0.132 ssl_.py:390(ssl_wrap_socket)
      126    0.000    0.000   16.562    0.131 ssl_.py:488(_ssl_wrap_socket_impl)
      126    0.001    0.000   16.562    0.131 ssl.py:507(wrap_socket)
      126    0.003    0.000   16.561    0.131 ssl.py:1014(_create)
      126    0.001    0.000   16.551    0.131 ssl.py:1368(do_handshake)
3782/3711    0.013    0.000   16.547    0.004 {method 'read' of '_io.BufferedReader' objects}
       87   16.116    0.185   16.121    0.185 {method 'copy_expert' of 'psycopg2.extensions.cursor' objects}
      434    0.001    0.000   14.396    0.033 models.py:890(content)
     2544    0.001    0.000   14.381    0.006 models.py:816(generate)
        1    0.003    0.003   14.306   14.306 update_destinations_tokens_and_autopoolDestinations_table.py:158(ensure__destinations__tokens__and__destination_tokens_are_current)
  1578722    0.811    0.000   13.867    0.000 main.py:38(__call__)
1599284/1599193    3.538    0.000   13.703    0.000 {method 'join' of 'str' objects}
  2281371    1.337    0.000   13.573    0.000 conversions.py:144(hexstr_if_str)
      346    0.002    0.000   13.454    0.039 util.py:129(__exit__)
  3910846    2.592    0.000   13.440    0.000 decorators.py:68(wrapper)
      179    0.000    0.000   13.419    0.075 base.py:2612(commit)
      179    0.001    0.000   13.419    0.075 base.py:2729(_do_commit)
      179    0.001    0.000   13.417    0.075 base.py:2704(_connection_commit_impl)
      179    0.002    0.000   13.416    0.075 base.py:1129(_commit_impl)
      179    0.002    0.000   13.387    0.075 default.py:705(do_commit)
      179   13.385    0.075   13.385    0.075 {method 'commit' of 'psycopg2.extensions.connection' objects}
       21    0.000    0.000   13.383    0.637 postgres_operations.py:216(get_full_table_as_df)
  865/349    0.003    0.000   13.331    0.038 state_changes.py:95(_go)
     2515    0.005    0.000   13.043    0.005 response.py:1173(read_chunked)
     2457    0.003    0.000   12.781    0.005 response.py:1151(_handle_chunk)
     3378    0.003    0.000   12.777    0.004 client.py:624(_safe_read)
        9    0.001    0.000   12.621    1.402 tokemak_subgraph.py:113(_fetch_tx_hash_to_swap_cost_offset)
        1    0.000    0.000   12.488   12.488 update_chainlink_keeper_gas_costs_table.py:92(ensure_chainlink_gas_costs_table_is_updated)
  1578722    0.609    0.000   12.479    0.000 pycryptodome.py:36(keccak256)
        1    0.000    0.000   12.264   12.264 update_chainlink_keeper_gas_costs_table.py:40(_ensure_one_chain_chainlink_gas_costs_is_updated)
780441/322650    0.333    0.000   11.828    0.000 functional.py:43(inner)
        1    0.000    0.000   11.746   11.746 update_token_values_table.py:130(ensure_token_values_are_current)
        5    0.000    0.000   11.745    2.349 update_token_values_table.py:109(_fetch_and_insert_new_token_values)
        6    0.000    0.000   11.644    1.941 update_rebalance_events.py:172(add_lp_token_safe_and_spot_prices)
        1    0.000    0.000   11.500   11.500 update_autopool_states.py:148(ensure_autopool_states_are_current)
        5    0.000    0.000   11.500    2.300 update_autopool_states.py:105(_fetch_and_insert_new_autopool_states)
        1    0.000    0.000   11.391   11.391 update_destinations_states_table.py:553(ensure_destination_states_are_current)
        9    0.001    0.000   10.534    1.170 tokemak_subgraph.py:56(_fetch_autopool_rebalance_events_from_subgraph)
   248362    0.749    0.000   10.445    0.000 call.py:56(decode_output)
 64659706    9.149    0.000   10.150    0.000 address.py:115(<genexpr>)
        9    0.003    0.000   10.031    1.115 update_autopool_destination_states_table.py:31(_determine_what_blocks_are_needed)
      126    0.001    0.000    9.425    0.075 connection.py:192(_new_conn)
      126    0.002    0.000    9.423    0.075 connection.py:27(create_connection)
   239209    0.112    0.000    9.400    0.000 signature.py:76(decode_data)
   240059    0.280    0.000    9.310    0.000 codec.py:198(decode)
       18    9.167    0.509    9.167    0.509 {built-in method time.sleep}
    68849    0.040    0.000    9.136    0.000 eth.py:522(call)
    11259    9.108    0.001    9.108    0.001 {method 'connect' of '_socket.socket' objects}
    68849    0.039    0.000    9.086    0.000 module.py:69(caller)
        3    0.000    0.000    8.349    2.783 update_destinations_states_table.py:309(_add_new_destination_states_to_db)
  1578722    1.295    0.000    8.316    0.000 keccak.py:143(new)
       94    0.001    0.000    7.991    0.085 sql.py:885(pandasSQL_builder)
       94    0.002    0.000    7.981    0.085 sql.py:1620(__init__)
        5    0.003    0.001    7.932    1.586 update_token_values_table.py:48(_determine_what_blocks_are_needed)
3540520/240289    0.609    0.000    7.770    0.000 decoding.py:126(__call__)
        5    0.003    0.001    7.738    1.548 update_autopool_states.py:119(_determine_what_blocks_are_needed)
1323177/586187    0.211    0.000    7.621    0.000 decoding.py:170(decode)
       13    0.001    0.000    7.517    0.578 client.py:560(_api_call)
       13    0.000    0.000    7.516    0.578 client.py:941(_make_api_call)
    44884    0.027    0.000    7.500    0.000 selector_events.py:818(_read_ready)
       13    0.000    0.000    7.498    0.577 client.py:1027(_make_request)
       13    0.000    0.000    7.498    0.577 endpoint.py:113(make_request)
       13    0.000    0.000    7.498    0.577 endpoint.py:192(_send_request)
       13    0.000    0.000    7.495    0.577 endpoint.py:233(_get_response)
       13    0.000    0.000    7.495    0.577 endpoint.py:261(_do_get_response)
    44884    0.049    0.000    7.473    0.000 selector_events.py:858(_read_ready__data_received)
       12    0.000    0.000    7.111    0.593 block_timestamp.py:19(add_blocks_from_dataframe_to_database)
694098/217426    0.373    0.000    7.105    0.000 decoding.py:141(decode)
    34856    0.040    0.000    7.057    0.000 sslproto.py:524(data_received)
      275    6.971    0.025    6.971    0.025 {method 'rollback' of 'psycopg2.extensions.connection' objects}
       52    0.000    0.000    6.965    0.134 module.py:51(caller)
       52    0.000    0.000    6.902    0.133 manager.py:187(request_blocking)
       52    0.000    0.000    6.902    0.133 manager.py:143(_make_request)
   274/52    0.001    0.000    6.901    0.133 formatting.py:84(middleware)
       52    0.000    0.000    6.900    0.133 gas_price_strategy.py:81(middleware)
      274    0.001    0.000    6.900    0.025 default.py:702(do_rollback)
       52    0.000    0.000    6.898    0.133 attrdict.py:32(middleware)
      273    0.002    0.000    6.855    0.025 base.py:1216(close)
      182    0.001    0.000    6.851    0.038 base.py:234(__exit__)
       94    0.000    0.000    6.845    0.073 sql.py:1643(__exit__)
       94    0.000    0.000    6.845    0.073 contextlib.py:582(close)
       94    0.001    0.000    6.845    0.073 contextlib.py:533(__exit__)
