account,lockCycle,lockDuration,amount,total_staked,cycle_unlock,days_left,days_left_bin,days_left_label
0x5CC5cEb562B14cE831F69fF69d4B3C2188DD7166,400,16,15939284791904655952,16,416,84,84,84-111 days
0xfDC54e8E4395B8A5A7A55DA875d708151C798b61,393,16,1170758489000000000000,1171,409,35,28,28-55 days
0x0F45156F109e474295913D78036FA213b1745D5A,389,16,255144000000000000000000,255144,405,7,0,0-27 days
0x4Cb2b7C5aA7af4176cc59584dea6246abfB1733a,403,16,173368152943627312323,173,419,105,84,84-111 days
0x9332c16E8E00E0661A06Fd1c2E2aB7E5C424006D,393,16,290040055049864607968,290,409,35,28,28-55 days
0xB8e160612aD814a294313bc77FBE67F38b67ccDc,399,16,203519861296541671107,204,415,77,56,56-83 days
0x35127316eB1F025B615df957909FbdE3c87dC52E,390,16,692989956132163079146,693,406,14,0,0-27 days
0x88aAF4a728e14748cea5e9A3cA1306Ac567ba472,403,16,18886817085148363302892,18887,419,105,84,84-111 days
0x50f64A4D7f6b5472Ee7d9b471A2F251662C3e648,391,16,12072848885620473464402,12073,407,21,0,0-27 days
0xB9Ed955fc3A389229A1873F631669a40c345F5F4,402,16,729712132930759959947,730,418,98,84,84-111 days
0xc3EA7b691Ee6892Bd6125CD94fb5a94f13bDC959,399,12,242185254067859311166386,242185,411,49,28,28-55 days
0xe3f0254B09AEc48ffA46f9eeE5A3BC7a8E510e6D,389,16,30519516994262064510286,30520,405,7,0,0-27 days
0x3820977F01255DA9Ca6c7570e9ad54ECdDd59FA4,389,16,40763124974615036722,41,405,7,0,0-27 days
0x767e1d39817DaeAD1244AC590a15f4AEF12F510B,395,16,329420174092142747054,329,411,49,28,28-55 days
0xab7bA98987fEC6D4931FB03f51BA24aD2539f68A,391,16,32066118250595724697,32,407,21,0,0-27 days
0x1cABC2a3E7fD58B16502bF7c60c5a5e41b9Db638,392,16,501827354743888389060,502,408,28,28,28-55 days
0xb8138046a377A64551Ba9B25492E679De68663de,403,16,394398337833587383449,394,419,105,84,84-111 days
0x065Ed8A62aF637530a75bB79433d6c49A2983A5E,392,16,795581725896780606859,796,408,28,28,28-55 days
0xF770153Abe437467Ee34901Af275376f678785F8,393,16,16850004000000000001,17,409,35,28,28-55 days
0xdD83eaa1A66369AB09B2642a1A130287c4aD8e40,393,16,265258761642106315434,265,409,35,28,28-55 days
0x144169C02b86ebe45B21A4c81802e7C551484de5,393,16,13001973647664417782242,13002,409,35,28,28-55 days
0x09E751EbD7E0Bc9e3711849bBe2c429a026A411E,393,12,6000000000000000000000,6000,405,7,0,0-27 days
0xE8da7a85B4639B43b6C7a358264966a8c98e3CfD,394,16,1617940056255950626590,1618,410,42,28,28-55 days
0x9D5d0bfd2985e4D417f479D22Af77FC2384BDd5B,394,16,30604972000000000000,31,410,42,28,28-55 days
0x65fDB0588e713F3c530321C9015C0bf84a6e0F65,398,16,28402744000000000000,28,414,70,56,56-83 days
0x4Ad87E34EC498210F7704167088B2ff0B1389ea6,394,16,55177000000000000000000,55177,410,42,28,28-55 days
0x9d393DADf3958BA14Ca15424B873f04618C604C4,395,16,32307979660421421020926,32308,411,49,28,28-55 days
0xc9eF1323C851396E7D9Eae88e77805341eAa8115,400,16,694248374003879426313,694,416,84,84,84-111 days
0xb40343b1E10AB498643de95A7eD37aDCEBDef28c,397,16,10702767068334145512,11,413,63,56,56-83 days
0x9493299b5Be94036B97f54f6C002b65FC605A895,397,16,78697947000000000000,79,413,63,56,56-83 days
0x52f7a765993b0833A15b5BAEf6Eb63c6f74bAbb1,398,16,295764925296564533801,296,414,70,56,56-83 days
0x3493FB990868E2B5957E7B1Bd816b7Db87123c39,399,16,188863851185585778676,189,415,77,56,56-83 days
0xbc23d0e7dD19Fc0Fe042f5c6cf957Deb3A7B454a,402,16,46510348000000000000,47,418,98,84,84-111 days
0x21d0aa6C43F123F3CdBEcef898618c924dA9C371,402,16,332704253565839523551,333,418,98,84,84-111 days
0xe7Cdd6583b674AF8d10b89899b134C41846dA0bf,399,16,2890244441150852791,3,415,77,56,56-83 days
0x54526dd3B396A3233910Baf1b8D195bEA3b25021,399,16,73027754000000000000,73,415,77,56,56-83 days
0x636dF4BD62E1Eb3477c0dBAFc8cD8C5Dd8B3A972,400,16,67778817000000000000,68,416,84,84,84-111 days
0x259A11563A88a749C2871a2EA3a06c61095DE49d,401,16,71287956270742086,0,417,91,84,84-111 days
0x333499Df348BDF759b6f9F86d7485418b7b58233,401,16,13739790197310314881,14,417,91,84,84-111 days
0xe625759D199F3f1B7aEC295cc69796762d3F21C0,401,4,3770339349830247628178,3770,405,7,0,0-27 days
0xCE777492fFb5183A890A97bb43f29f8A21B685DF,402,16,528551309089694236327,529,418,98,84,84-111 days
0x01485ef10715F5B96BeFfA5552B0642E32C9aef6,402,16,3775683641230323179511,3776,418,98,84,84-111 days
0x06aAcfDeeBDcCCa500B98411cC45c8D4A45944ED,403,4,288717989000000000000,289,407,21,0,0-27 days
